full_name,member_title,last_name,state,party_name,chamber,year_start,year_end,member_id
Carlos J. Moorhead,Representative,Moorhead,California,Republican,House,1973,1997,230
Carol D. Miller,Representative,Miller,West Virginia,Republican,House,2019,2020,231
Carol Moseley-Braun,Senator,Moseley-Braun,Illinois,Democratic,Senate,1993,1999,232
Carol Shea-Porter,Representative,Shea-Porter,New Hampshire,Democratic,House,2007,2015,233
Carolyn B. Maloney,Representative,Maloney,New York,Democratic,House,1993,2020,234
Carolyn C. Kilpatrick,Representative,Kilpatrick,Michigan,Democratic,House,1997,2011,235
Carolyn McCarthy,Representative,McCarthy,New York,Democratic,House,1997,2015,236
Carrie P. Meek,Representative,Meek,Florida,Democratic,House,1993,2003,237
"Carroll, Jr. Hubbard",Representative,Hubbard,Kentucky,Democratic,House,1975,1993,238
Carte Patrick Goodwin,Senator,Goodwin,West Virginia,Democratic,Senate,2010,2010,239
Cass Ballenger,Representative,Ballenger,North Carolina,Republican,House,1985,2005,240
Catherine Cortez Masto,Senator,Cortez Masto,Nevada,Democratic,Senate,2017,2020,241
Cathy McMorris Rodgers,Representative,McMorris Rodgers,Washington,Republican,House,2005,2020,242
Cedric L. Richmond,Representative,Richmond,Louisiana,Democratic,House,2011,2020,243
Chaka Fattah,Representative,Fattah,Pennsylvania,Democratic,House,1995,2016,244
Chalmers P. Wylie,Representative,Wylie,Ohio,Republican,House,1967,1993,245
Charles A. Gonzalez,Representative,Gonzalez,Texas,Democratic,House,1999,2013,246
Charles A. Hayes,Representative,Hayes,Illinois,Democratic,House,1983,1993,247
Charles A. Wilson,Representative,Wilson,Ohio,Democratic,House,2007,2011,248
Charles B. Rangel,Representative,Rangel,New York,Democratic,House,1971,2017,249
Charles E. Bennett,Representative,Bennett,Florida,Democratic,House,1949,1993,250
Charles E. Schumer,Senator,Schumer,New York,Democratic,House,1981,1999,251
Charles E. Schumer,Senator,Schumer,New York,Democratic,Senate,1999,2020,252
Charles F. Bass,Representative,Bass,New Hampshire,Republican,House,1995,2013,253
Charles H. Taylor,Representative,Taylor,North Carolina,Republican,House,1991,2007,254
Charles Hatcher,Representative,Hatcher,Georgia,Democratic,House,1981,1993,255
"Charles J. ""Chuck"" Fleischmann",Representative,Fleischmann,Tennessee,Republican,House,2011,2020,256
Charles K. Djou,Representative,Djou,Hawaii,Republican,House,2010,2011,257
Charles Luken,Representative,Luken,Ohio,Democratic,House,1991,1993,258
Charles S. Robb,Senator,Robb,Virginia,Democratic,Senate,1989,2001,259
Charles T. Canady,Representative,Canady,Florida,Republican,House,1993,2001,260
"Charles W. ""Chip"" Pickering",Representative,Pickering,Mississippi,Republican,House,1997,2009,261
Charles W. Dent,Representative,Dent,Pennsylvania,Republican,House,2005,2018,262
Charles W. Norwood,Representative,Norwood,Georgia,Republican,House,1995,2007,263
Charles W. Stenholm,Representative,Stenholm,Texas,Democratic,House,1979,2005,264
"Charles W., Jr. Boustany",Representative,Boustany,Louisiana,Republican,House,2005,2017,265
Charles Wilson,Representative,Wilson,Texas,Democratic,House,1973,1997,266
"Charles, Jr. Pashayan",Representative,Pashayan,California,Republican,House,1979,1991,267
Charlie Crist,Representative,Crist,Florida,Democratic,House,2017,2020,268
Charlie Melancon,Representative,Melancon,Louisiana,Democratic,House,2005,2011,269
Charlie Rose,Representative,Rose,North Carolina,Democratic,House,1973,1997,270
Chellie Pingree,Representative,Pingree,Maine,Democratic,House,2009,2020,271
Cheri Bustos,Representative,Bustos,Illinois,Democratic,House,2013,2020,272
Chester G. Atkins,Representative,Atkins,Massachusetts,Democratic,House,1985,1993,273
Chet Edwards,Representative,Edwards,Texas,Democratic,House,1991,2011,274
Chic Hecht,Senator,Hecht,Nevada,Republican,Senate,1983,1989,275
Chip Cravaack,Representative,Cravaack,Minnesota,Republican,House,2011,2013,276
Chip Roy,Representative,Roy,Texas,Republican,House,2019,2020,277
Chris Bell,Representative,Bell,Texas,Democratic,House,2003,2005,278
Chris Cannon,Representative,Cannon,Utah,Republican,House,1997,2009,279
Chris Chocola,Representative,Chocola,Indiana,Republican,House,2003,2007,280
Chris Collins,Representative,Collins,New York,Republican,House,2013,2019,281
Chris Jacobs,Representative,Jacobs,New York,Republican,House,2020,2020,282
Chris Pappas,Representative,Pappas,New Hampshire,Democratic,House,2019,2020,283
Chris Stewart,Representative,Stewart,Utah,Republican,House,2013,2020,284
Chris Van Hollen,Senator,Van Hollen,Maryland,Democratic,House,2003,2017,285
Chris Van Hollen,Senator,Van Hollen,Maryland,Democratic,Senate,2017,2020,286
Chrissy Houlahan,Representative,Houlahan,Pennsylvania,Democratic,House,2019,2020,287
Christopher A. Coons,Senator,Coons,Delaware,Democratic,Senate,2010,2020,288
Christopher Cox,Representative,Cox,California,Republican,House,1989,2007,289
Christopher H. Smith,Representative,Smith,New Jersey,Republican,House,1981,2020,290
Christopher J. Dodd,Senator,Dodd,Connecticut,Democratic,House,1975,1981,291
Christopher J. Dodd,Senator,Dodd,Connecticut,Democratic,Senate,1981,2011,292
Christopher J. Lee,Representative,Lee,New York,Republican,House,2009,2011,293
Christopher John,Representative,John,Louisiana,Democratic,House,1997,2005,294
Christopher Murphy,Senator,Murphy,Connecticut,Democratic,House,2007,2013,295
Christopher Murphy,Senator,Murphy,Connecticut,Democratic,Senate,2013,2020,296
Christopher P. Carney,Representative,Carney,Pennsylvania,Democratic,House,2007,2011,297
Christopher P. Gibson,Representative,Gibson,New York,Republican,House,2011,2017,298
Christopher S. Bond,Senator,Bond,Missouri,Republican,Senate,1987,2011,299
Christopher Shays,Representative,Shays,Connecticut,Republican,House,1987,2009,300
Chuck Douglas,Representative,Douglas,New Hampshire,Republican,House,1989,1991,301
Chuck Grassley,Senator,Grassley,Iowa,Republican,House,1975,1981,302
Chuck Grassley,Senator,Grassley,Iowa,Republican,Senate,1981,2020,303
Chuck Hagel,Senator,Hagel,Nebraska,Republican,Senate,1997,2009,304
Cindy Hyde-Smith,Senator,Hyde-Smith,Mississippi,Republican,Senate,2018,2020,305
Ciro D. Rodriguez,Representative,Rodriguez,Texas,Democratic,House,1997,2011,306
Claiborne Pell,Senator,Pell,Rhode Island,Democratic,Senate,1961,1997,307
Claire McCaskill,Senator,McCaskill,Missouri,Democratic,Senate,2007,2019,308
Clarence E. Miller,Representative,Miller,Ohio,Republican,House,1967,1993,309
Claude Harris,Representative,Harris,Alabama,Democratic,House,1987,1993,310
Claude Pepper,Representative,Pepper,Florida,Democratic,House,1963,1991,311
Claude Pepper,Representative,Pepper,Florida,Democratic,Senate,1935,1951,312
Claudia Tenney,Representative,Tenney,New York,Republican,House,2017,2019,313
Claudine Schneider,Representative,Schneider,Rhode Island,Republican,House,1981,1991,314
Clay Higgins,Representative,Higgins,Louisiana,Republican,House,2017,2020,315
Cleo Fields,Representative,Fields,Louisiana,Democratic,House,1993,1997,316
Cliff Stearns,Representative,Stearns,Florida,Republican,House,1989,2013,317
Clyde Holloway,Representative,Holloway,Louisiana,Republican,House,1987,1993,318
Colin Z. Allred,Representative,Allred,Texas,Democratic,House,2019,2020,319
Colleen Hanabusa,Representative,Hanabusa,Hawaii,Democratic,House,2011,2019,320
Collin C. Peterson,Representative,Peterson,Minnesota,Democratic,House,1991,2020,321
Connie Mack,Representative,Mack,Florida,Republican,House,2005,2013,322
"Connie, III Mack",Senator,Mack,Florida,Republican,House,1983,1989,323
"Connie, III Mack",Senator,Mack,Florida,Republican,Senate,1989,2001,324
Conor Lamb,Representative,Lamb,Pennsylvania,Democratic,House,2018,2020,325
